time,rho,mean,sd,min,max
395,3,7.61,0.26,7.13,8.21
396,3,7.74,0.26,7.27,8.33
397,3,7.72,0.28,7.08,8.37
398,3,7.76,0.28,7.22,8.42
399,3,7.68,0.29,7.09,8.41
400,3,7.73,0.32,7.12,8.49
401,3,7.78,0.31,7.21,8.53
402,3,7.86,0.30,7.32,8.53
403,3,7.78,0.34,7.10,8.51
404,3,7.81,0.31,7.20,8.43
405,3,7.75,0.34,7.11,8.40
406,3,7.68,0.36,7.08,8.43
407,3,7.73,0.38,7.18,8.48
408,3,7.69,0.33,7.23,8.47
409,3,7.74,0.32,7.29,8.50
410,3,7.66,0.39,7.08,8.52
411,3,7.78,0.44,6.91,8.64
412,3,7.66,0.51,6.45,8.54
413,3,7.64,0.51,6.19,8.47
414,3,7.50,0.54,5.92,8.43
415,3,7.45,0.50,6.44,8.42
416,3,7.55,0.44,6.75,8.50
417,3,7.63,0.39,6.88,8.40
418,3,7.77,0.39,7.02,8.54
419,3,7.68,0.37,6.95,8.48
420,3,7.66,0.32,7.08,8.38
421,3,7.75,0.32,7.13,8.48
422,3,7.69,0.33,7.02,8.50
423,3,7.56,0.31,6.82,8.26
424,3,7.48,0.24,6.93,8.08
425,3,7.45,0.34,6.60,8.18
426,3,7.46,0.25,6.71,8.07
427,3,7.44,0.27,6.82,8.18
428,3,7.50,0.28,6.99,8.28
429,3,7.51,0.32,6.57,8.30
430,3,7.45,0.34,6.57,8.23
431,3,7.28,0.40,6.13,8.18
432,3,7.15,0.43,5.81,8.14
433,3,7.54,0.38,6.74,8.48
434,3,7.53,0.35,6.74,8.43
435,3,7.50,0.34,6.67,8.26
436,3,7.56,0.32,6.88,8.20
437,3,7.39,0.35,6.32,8.09
438,3,7.38,0.41,5.83,8.17
439,3,7.55,0.35,6.46,8.35
440,3,7.53,0.35,6.60,8.35
441,3,7.82,0.37,6.96,8.71
442,3,7.70,0.42,6.54,8.62
443,3,7.32,0.60,5.35,8.28
444,3,7.51,0.59,5.37,8.43
445,3,7.60,0.43,6.15,8.38
446,3,7.53,0.39,6.37,8.34
447,3,7.67,0.38,7.09,8.59
448,3,7.68,0.42,7.03,8.65
449,3,7.69,0.44,6.93,8.66
450,3,7.66,0.43,6.69,8.62
451,3,7.71,0.41,6.85,8.67
452,3,7.47,0.36,6.66,8.39
453,3,7.50,0.31,6.75,8.37
454,3,7.50,0.32,6.81,8.33
455,3,7.52,0.33,6.85,8.34
456,3,7.52,0.41,6.80,8.53
457,3,7.61,0.33,7.06,8.44
458,3,7.42,0.28,6.77,8.13
459,3,7.41,0.24,6.94,8.08
460,3,7.36,0.24,6.97,8.04
461,3,7.29,0.22,6.76,7.71
462,3,7.77,0.35,7.00,8.51
463,3,7.64,0.35,6.95,8.33
464,3,7.62,0.33,6.97,8.30
465,3,7.82,0.42,7.11,8.70
466,3,7.83,0.39,7.12,8.65
467,3,7.99,0.38,7.31,8.81
468,3,8.13,0.41,7.42,9.01
469,3,8.07,0.44,7.21,8.99
470,3,7.93,0.48,6.90,8.82
471,3,7.92,0.55,6.80,8.90
472,3,7.86,0.53,6.94,8.81
473,3,7.79,0.51,6.91,8.78
474,3,8.06,0.42,7.23,8.86
475,3,7.95,0.39,7.22,8.79
476,3,7.71,0.44,6.87,8.79
477,3,7.91,0.46,7.04,8.88
478,3,7.78,0.32,7.07,8.39
479,3,7.78,0.29,7.24,8.37
480,3,7.86,0.26,7.39,8.40
481,3,7.85,0.23,7.42,8.34
482,3,7.84,0.21,7.45,8.29
483,3,8.02,0.25,7.54,8.51
484,3,8.00,0.27,7.51,8.57
485,3,8.04,0.27,7.55,8.62
486,3,7.99,0.27,7.50,8.56
487,3,8.01,0.27,7.50,8.59
488,3,8.00,0.28,7.47,8.57
489,3,7.85,0.23,7.46,8.39
490,3,7.83,0.24,7.37,8.44
491,3,7.79,0.24,7.35,8.38
492,3,7.87,0.22,7.48,8.43
493,3,7.74,0.23,7.30,8.28
494,3,7.68,0.25,7.18,8.28
495,3,7.65,0.21,7.25,8.17
496,3,7.74,0.22,7.32,8.25
497,3,7.77,0.18,7.43,8.23
498,3,7.73,0.21,7.30,8.15
499,3,7.72,0.21,7.34,8.24
500,3,7.62,0.22,7.10,8.14
0,4,6.77,0.54,5.23,7.75
1,4,6.89,0.49,5.35,7.67
2,4,6.71,0.50,5.23,7.54
3,4,6.74,0.52,4.91,7.45
4,4,6.71,0.47,5.13,7.51
5,4,6.39,0.63,4.65,7.35
6,4,6.60,0.60,4.74,7.43
7,4,7.16,0.38,6.18,7.74
8,4,6.77,0.57,5.35,7.66
9,4,6.58,0.70,4.87,7.62
10,4,6.19,0.92,4.01,7.45
11,4,6.18,0.88,3.71,7.38
12,4,6.36,0.72,4.16,7.33
13,4,6.37,0.67,4.47,7.40
14,4,6.45,0.66,4.75,7.48
15,4,6.81,0.56,5.16,7.45
16,4,6.84,0.55,5.10,7.56
17,4,6.66,0.63,4.81,7.54
18,4,6.80,0.55,5.19,7.59
19,4,6.95,0.42,5.84,7.56
20,4,7.01,0.37,5.91,7.59
21,4,6.90,0.41,5.76,7.56
22,4,6.74,0.45,5.76,7.50
23,4,6.71,0.48,5.59,7.51
24,4,6.46,0.57,5.24,7.40
25,4,6.63,0.49,5.59,7.44
26,4,6.15,0.55,4.97,7.06
27,4,6.29,0.54,4.80,7.25
28,4,6.19,0.54,4.65,7.12
29,4,6.30,0.54,4.86,7.30
30,4,6.62,0.66,4.78,7.68
31,4,6.66,0.76,4.65,7.84
32,4,7.01,0.72,4.54,7.95
33,4,6.85,0.79,4.25,7.84
34,4,6.84,0.72,4.59,7.77
35,4,7.17,0.35,6.13,7.79
36,4,7.17,0.28,6.44,7.65
37,4,7.10,0.32,6.08,7.57
38,4,7.04,0.58,5.41,7.72
39,4,6.98,0.42,5.77,7.65
40,4,6.91,0.49,5.61,7.69
41,4,6.91,0.55,5.58,7.93
42,4,6.85,0.57,5.60,7.87
43,4,7.11,0.45,5.92,7.94
44,4,7.25,0.36,6.28,7.97
45,4,7.24,0.28,6.51,7.80
46,4,7.13,0.25,6.29,7.56
47,4,6.99,0.34,6.05,7.50
48,4,6.72,0.48,5.48,7.38
49,4,6.57,0.53,5.12,7.30
50,4,6.16,0.64,4.61,7.12
51,4,5.69,0.79,4.13,7.14
52,4,5.65,0.73,4.18,7.03
53,4,5.97,0.72,4.29,7.11
54,4,5.93,0.75,4.33,7.13
55,4,6.17,0.63,4.67,7.20
56,4,5.76,0.58,4.59,7.07
57,4,5.73,0.54,4.69,6.81
58,4,5.55,0.49,4.41,6.44
59,4,5.84,0.56,4.74,6.99
60,4,6.18,0.65,4.95,7.63
61,4,6.65,0.56,5.49,7.85
62,4,6.62,0.63,5.20,7.97
63,4,6.53,0.82,4.88,7.98
64,4,6.45,0.84,4.55,7.79
65,4,6.58,0.77,4.94,7.82
66,4,6.34,0.74,4.69,7.49
67,4,6.15,0.77,4.24,7.40
68,4,6.09,0.85,3.66,7.36
69,4,6.50,0.67,4.31,7.37
70,4,6.77,0.57,5.14,7.64
71,4,6.59,0.62,4.80,7.63
72,4,6.50,0.81,4.66,7.82
73,4,5.97,1.04,3.70,7.53
74,4,6.28,0.79,4.50,7.44
75,4,6.62,0.65,5.07,7.62
76,4,6.57,0.70,4.78,7.60
77,4,6.55,0.86,4.14,7.76
78,4,6.61,0.93,4.06,7.89
79,4,6.46,0.99,3.87,7.84
80,4,6.58,1.03,3.85,7.82
81,4,6.87,0.67,4.83,7.89
82,4,6.84,0.58,5.27,7.74
83,4,6.69,0.59,5.17,7.53
84,4,6.94,0.48,5.64,7.72
85,4,6.85,0.49,5.60,7.71
86,4,6.61,0.65,4.92,7.58
87,4,6.83,0.64,5.10,7.79
88,4,6.70,0.54,5.29,7.56
89,4,6.84,0.49,5.43,7.67
90,4,7.01,0.47,5.82,7.84
91,4,7.17,0.48,6.09,8.13
92,4,7.25,0.48,6.01,8.09
93,4,6.53,0.77,4.62,7.77
94,4,7.23,0.57,5.74,8.18
95,4,7.55,0.42,6.41,8.39
96,4,7.54,0.32,6.81,8.20
97,4,7.54,0.31,6.74,8.38
98,4,7.46,0.42,6.32,8.60
99,4,7.57,0.41,6.65,8.66
100,4,7.29,0.44,6.43,8.32
101,4,7.35,0.38,6.56,8.20
102,4,7.33,0.38,6.63,8.38
103,4,7.39,0.49,6.46,8.48
104,4,7.10,0.63,5.63,8.38
105,4,7.40,0.59,6.34,8.66
106,4,7.29,0.64,5.93,8.41
107,4,6.84,0.52,5.51,7.84
108,4,7.21,0.34,6.48,8.02
109,4,7.33,0.38,6.33,8.20
110,4,6.78,0.55,5.15,7.98
111,4,6.75,0.74,4.50,7.96
112,4,7.24,0.39,5.72,7.85
113,4,6.53,0.95,4.22,7.73
114,4,6.90,0.67,4.78,8.07
115,4,7.07,0.59,4.32,7.85
116,4,6.78,0.67,5.01,7.62
117,4,6.43,1.27,2.53,8.04
118,4,6.53,0.99,3.14,7.96
119,4,5.75,1.26,2.64,7.36
120,4,5.63,1.38,2.60,7.36
121,4,6.45,0.95,3.75,7.88
122,4,7.06,0.76,4.79,8.31
123,4,6.51,0.96,3.56,7.88
124,4,5.73,1.45,2.29,7.90
125,4,6.67,1.22,3.70,8.33
126,4,5.72,1.30,2.76,7.72
127,4,6.45,1.00,3.83,7.86
128,4,6.59,0.78,4.38,7.98
129,4,7.18,0.48,6.05,8.29
130,4,6.91,0.44,5.80,7.72
131,4,7.00,0.47,5.81,7.95
132,4,6.94,0.54,5.50,8.00
133,4,6.71,0.56,5.32,7.63
134,4,6.91,0.64,4.33,7.94
135,4,6.57,0.74,3.90,7.85
136,4,5.85,1.39,1.09,7.40
137,4,6.53,0.64,3.85,7.38
138,4,6.61,0.74,3.68,7.66
139,4,6.00,1.23,1.69,7.48
140,4,5.73,0.99,2.54,7.10
141,4,6.51,0.83,3.57,7.90
142,4,6.32,0.97,2.44,7.74
143,4,6.48,0.91,3.16,7.70
144,4,7.00,0.64,4.48,7.74
145,4,6.67,1.09,2.27,7.73
146,4,5.83,1.44,2.10,7.59
147,4,5.49,1.46,1.63,7.36
148,4,6.72,1.22,2.87,7.90
149,4,6.13,1.10,2.77,7.61
150,4,6.39,1.00,3.40,7.67
151,4,6.53,0.86,3.83,7.58
152,4,6.82,1.01,3.36,7.98
153,4,6.18,1.39,2.15,7.65
154,4,6.22,1.15,2.43,7.83
155,4,7.05,0.53,5.37,7.83
156,4,6.77,0.82,4.03,7.83
157,4,7.07,0.80,4.47,8.20
158,4,6.28,1.46,2.48,7.94
159,4,5.92,1.58,2.11,7.78
160,4,6.83,0.98,3.04,8.04
161,4,5.26,1.67,1.76,7.65
162,4,4.88,1.63,1.29,7.01
163,4,4.89,1.61,1.38,7.06
164,4,5.67,1.35,1.93,7.18
165,4,6.13,0.91,3.21,7.30
166,4,6.68,0.56,4.99,7.69
167,4,5.78,1.25,2.04,7.31
168,4,6.37,0.69,4.04,7.28
169,4,6.42,1.11,2.27,7.53
170,4,6.25,1.16,2.31,7.49
171,4,6.88,0.40,5.79,7.67
172,4,6.98,0.37,5.64,7.67
173,4,6.88,0.54,5.06,7.90
174,4,7.20,0.47,5.91,7.99
175,4,7.37,0.34,6.70,8.37
176,4,7.26,0.55,5.18,8.32
177,4,7.23,0.45,6.35,8.36
178,4,7.23,0.49,5.46,8.33
179,4,7.02,0.39,5.81,7.80
180,4,7.15,0.43,5.71,7.78
181,4,5.95,1.34,2.59,7.67
182,4,5.04,1.35,2.28,7.38
183,4,5.42,1.60,0.89,7.49
184,4,6.68,0.84,4.13,8.20
185,4,6.57,1.03,3.00,8.14
186,4,6.32,1.08,3.33,7.88
187,4,6.54,0.89,3.28,8.01
188,4,6.20,1.76,1.62,8.46
189,4,6.36,1.88,2.59,8.65
190,4,6.84,1.20,3.27,8.00
191,4,6.59,1.46,3.08,8.17
192,4,6.21,1.48,2.37,7.70
193,4,6.96,0.60,5.25,7.77
194,4,5.14,1.59,1.77,7.49
195,4,6.21,1.25,2.37,7.96
196,4,6.75,0.99,3.66,7.96
197,4,6.94,0.85,3.95,8.12
198,4,7.09,0.64,4.86,7.83
199,4,6.53,0.79,4.41,7.47
200,4,5.52,1.42,1.56,7.15
201,4,6.56,0.95,3.93,8.00
202,4,6.87,0.86,3.16,7.78
203,4,7.29,0.45,5.98,8.11
204,4,6.76,0.98,2.96,7.81
205,4,6.73,1.04,2.72,7.91
206,4,6.69,1.14,2.14,7.98
207,4,7.15,0.54,5.87,8.09
208,4,6.27,0.98,3.23,7.78
209,4,6.32,0.91,3.26,7.77
210,4,6.55,0.58,4.84,7.34
211,4,6.37,0.66,4.61,7.36
212,4,6.76,0.50,5.35,7.56
213,4,6.46,0.56,4.08,7.27
214,4,6.79,0.37,5.68,7.38
215,4,7.17,0.39,5.85,7.87
216,4,6.98,0.42,5.74,7.72
217,4,6.79,0.66,3.67,7.73
218,4,6.42,0.59,3.78,7.18
219,4,6.00,0.96,3.13,7.40
220,4,5.83,1.33,2.39,7.55
221,4,6.24,1.19,2.61,7.81
222,4,6.39,0.98,2.69,7.66
223,4,6.54,0.92,3.28,7.76
224,4,6.35,1.29,2.50,7.84
225,4,6.56,1.18,2.71,8.11
226,4,6.14,1.30,2.50,7.57
227,4,6.11,1.11,2.64,7.43
228,4,6.00,1.26,2.38,7.39
229,4,6.21,1.50,1.94,7.67
230,4,6.73,1.37,2.24,8.19
231,4,7.36,0.54,5.20,8.37
232,4,7.23,0.33,6.47,7.92
233,4,6.84,0.55,4.82,7.59
234,4,6.53,0.81,3.91,7.56
235,4,6.14,0.88,3.54,7.43
236,4,6.21,0.94,2.89,7.38
237,4,6.40,0.71,4.35,7.31
238,4,6.90,0.74,4.21,7.85
239,4,6.64,1.05,2.91,7.80
240,4,6.12,1.23,2.74,7.68
241,4,6.35,1.05,3.66,7.65
242,4,6.39,0.88,4.21,7.57
243,4,6.05,1.01,3.40,7.58
244,4,5.55,1.06,2.90,7.37
245,4,5.12,1.24,2.13,6.96
246,4,5.18,1.54,1.45,7.14
247,4,6.04,1.04,3.38,7.64
248,4,5.56,1.49,2.05,7.67
249,4,5.57,1.69,1.80,8.04
250,4,5.38,1.71,1.68,7.90
251,4,6.18,1.54,2.22,8.20
252,4,6.72,1.17,2.63,8.15
253,4,6.62,0.84,3.81,7.91
254,4,6.79,0.70,4.05,7.92
255,4,6.87,0.61,4.78,7.97
256,4,6.97,0.66,4.70,8.12
257,4,7.20,0.60,4.83,8.17
258,4,7.30,0.62,5.25,8.29
259,4,7.16,0.57,4.91,8.29
260,4,7.21,0.42,6.22,8.19
261,4,7.01,0.52,5.75,8.05
262,4,6.26,1.06,3.14,7.74
263,4,6.42,0.82,3.73,7.61
264,4,6.06,0.90,3.98,7.62
265,4,5.82,1.06,3.54,7.44
266,4,6.25,0.99,3.57,7.80
267,4,6.92,0.64,4.99,7.84
268,4,6.61,0.96,3.38,7.85
269,4,5.89,1.35,2.07,7.54
270,4,6.06,1.23,2.27,7.52
271,4,6.12,1.00,2.88,7.26
272,4,6.01,1.00,3.43,7.32
273,4,6.57,0.77,3.25,7.58
274,4,6.71,0.56,4.88,7.58
275,4,7.07,0.47,5.87,7.82
276,4,7.12,0.47,5.93,7.88
277,4,7.26,0.39,6.40,8.14
278,4,7.16,0.42,6.18,8.07
279,4,6.85,0.67,4.13,8.02
280,4,6.74,0.79,4.05,8.20
281,4,6.17,1.08,3.29,7.89
282,4,6.25,0.83,4.08,7.71
283,4,6.14,0.85,3.67,7.69
284,4,6.15,0.81,4.32,7.76
285,4,5.89,1.04,3.24,7.74
286,4,6.25,0.75,4.60,7.84
287,4,5.69,1.11,2.53,7.13
288,4,5.96,1.05,2.96,7.43
289,4,5.07,1.40,1.62,7.12
290,4,4.58,1.29,1.39,6.64
291,4,4.11,1.36,1.31,6.35
292,4,4.33,1.31,1.45,6.41
293,4,5.58,1.07,2.46,7.15
294,4,6.17,0.78,4.48,7.39
295,4,6.39,0.64,4.67,7.49
296,4,6.58,0.59,4.96,7.53
297,4,6.67,0.64,5.08,7.65
298,4,6.44,0.62,5.02,7.68
299,4,6.09,0.73,4.09,7.27
300,4,6.53,0.63,4.91,7.54
301,4,6.67,0.54,5.37,7.74
302,4,6.84,0.52,5.45,7.84
303,4,6.87,0.51,5.19,7.72
304,4,6.78,0.65,4.78,7.71
305,4,6.93,0.57,5.29,7.65
306,4,6.53,0.79,4.62,7.78
307,4,6.44,0.83,4.37,7.75
308,4,6.58,0.88,4.24,7.73
309,4,6.79,0.69,4.56,7.72
310,4,6.92,0.61,4.61,7.77
311,4,7.16,0.37,5.97,7.77
312,4,7.31,0.25,6.60,7.75
313,4,7.14,0.33,6.27,7.68
314,4,6.58,0.58,4.93,7.52
315,4,6.32,0.69,4.52,7.43
316,4,5.93,0.85,4.22,7.38
317,4,6.23,1.08,2.70,7.51
318,4,5.86,1.14,2.85,7.31
319,4,5.98,1.22,2.28,7.50
320,4,6.24,0.99,3.05,7.42
321,4,6.34,1.06,2.74,7.74
322,4,6.13,0.99,3.63,7.60
323,4,6.66,0.77,3.94,7.86
324,4,6.18,1.03,3.67,7.59
325,4,5.65,0.91,3.77,7.11
326,4,5.27,1.01,3.23,7.22
327,4,5.60,1.03,3.45,7.77
328,4,5.10,1.44,2.33,7.47
329,4,5.86,1.39,2.38,7.79
330,4,6.04,1.40,1.97,7.69
331,4,6.28,1.18,3.02,7.82
332,4,6.63,0.85,4.15,7.87
333,4,6.58,0.84,4.16,7.68
334,4,6.53,0.74,4.12,7.39
335,4,6.64,0.64,4.23,7.39
336,4,6.36,0.89,3.28,7.35
337,4,6.24,1.07,2.84,7.56
338,4,6.10,1.36,1.93,7.63
339,4,5.91,1.25,2.62,7.44
340,4,5.59,1.46,2.16,7.75
341,4,5.76,1.81,1.33,7.83
342,4,6.21,1.47,1.87,7.78
343,4,6.78,0.75,3.71,7.77
344,4,6.56,0.86,3.93,7.87
345,4,6.06,1.12,3.62,7.66
346,4,5.73,1.29,3.09,7.91
347,4,4.88,1.49,1.59,7.63
348,4,4.99,1.03,3.10,7.20
349,4,5.79,0.91,3.89,7.42
350,4,6.20,0.90,4.04,7.51
351,4,6.68,0.85,4.40,7.71
352,4,6.16,1.10,3.71,7.81
353,4,6.14,0.85,4.42,7.55
354,4,5.82,1.15,2.69,7.53
355,4,6.22,1.12,2.31,7.65
356,4,5.55,1.38,1.49,7.48
357,4,5.45,1.51,1.43,7.46
358,4,5.85,1.44,1.61,7.60
359,4,6.57,1.04,3.15,7.67
360,4,6.55,0.91,3.30,7.74
361,4,6.74,0.96,3.28,7.85
362,4,6.96,1.14,2.61,8.04
363,4,6.10,1.52,1.68,7.77
364,4,6.09,1.30,2.11,7.58
365,4,5.85,1.49,2.18,7.56
366,4,5.41,1.61,1.99,7.69
367,4,6.28,1.01,3.15,7.52
368,4,4.86,1.69,2.11,7.41
369,4,4.79,1.76,1.57,7.28
370,4,4.84,1.89,1.22,7.30
371,4,5.47,1.68,1.52,7.70
372,4,5.50,1.42,2.49,7.60
373,4,5.78,1.13,3.00,7.44
374,4,6.01,1.07,3.27,7.70
375,4,5.75,1.03,3.29,7.51
376,4,5.85,1.42,1.94,7.54
377,4,6.80,0.81,4.01,7.96
378,4,6.13,0.81,4.19,7.43
379,4,5.35,1.17,3.27,7.38
380,4,5.40,1.31,2.53,7.48
381,4,5.77,1.21,2.20,7.44
382,4,5.81,1.47,1.63,7.62
383,4,5.92,1.76,1.09,7.64
384,4,6.16,1.59,1.17,7.69
385,4,6.14,1.46,1.29,7.47
386,4,6.43,1.10,2.80,7.80
387,4,6.79,0.84,3.84,8.07
388,4,6.50,1.05,3.01,7.95
389,4,5.17,1.51,2.07,7.39
390,4,5.53,1.32,2.91,7.47
391,4,6.74,0.65,5.11,7.61
392,4,6.53,0.67,4.86,7.52
393,4,6.38,0.77,4.01,7.43
394,4,6.44,0.79,4.04,7.52
395,4,6.67,0.61,4.69,7.54
396,4,6.88,0.57,4.99,7.71
397,4,6.97,0.43,5.90,7.74
398,4,6.94,0.44,5.61,7.66
399,4,6.91,0.36,5.73,7.52
400,4,7.05,0.34,6.01,7.73
401,4,7.15,0.33,6.35,7.83
402,4,7.18,0.36,6.31,7.89
403,4,7.11,0.39,6.28,7.96
404,4,7.23,0.33,6.52,7.98
405,4,7.13,0.38,6.21,7.98
406,4,7.02,0.42,6.00,7.94
407,4,7.20,0.36,6.29,8.17
408,4,7.25,0.32,6.59,7.95
409,4,7.32,0.32,6.65,8.03
410,4,7.02,0.42,5.98,8.08
411,4,6.99,0.62,5.51,8.19
412,4,6.74,0.73,5.00,7.95
413,4,6.53,0.80,4.67,7.82
414,4,6.39,0.77,4.42,7.77
415,4,6.39,0.69,4.71,7.74
416,4,6.65,0.51,5.46,7.74
417,4,6.71,0.46,5.72,7.72
418,4,6.80,0.52,5.16,7.86
419,4,6.69,0.53,5.27,7.85
420,4,6.68,0.60,4.81,7.67
421,4,6.93,0.54,4.97,7.83
422,4,6.86,0.53,5.06,7.66
423,4,6.58,0.63,4.73,7.59
424,4,6.79,0.46,5.57,7.55
425,4,6.35,0.86,4.29,7.58
426,4,6.69,0.69,4.09,7.55
427,4,6.80,0.41,5.74,7.54
428,4,6.69,0.58,4.44,7.42
429,4,6.45,0.85,3.93,7.48
430,4,6.28,0.80,4.08,7.42
431,4,5.96,0.81,3.96,7.19
432,4,5.69,0.83,3.56,6.90
433,4,6.37,0.63,4.77,7.53
434,4,6.44,0.67,4.49,7.57
435,4,6.44,0.69,4.20,7.43
436,4,6.54,0.78,4.04,7.52
437,4,6.20,0.83,3.58,7.34
438,4,6.24,0.83,3.73,7.33
439,4,6.46,0.88,3.75,7.50
440,4,6.50,0.74,4.23,7.41
441,4,6.75,0.82,4.18,7.74
442,4,6.50,0.87,4.04,7.49
443,4,5.72,1.21,3.14,7.22
444,4,5.83,1.31,3.11,7.43
445,4,6.20,1.04,3.72,7.56
446,4,6.39,0.81,4.42,7.53
447,4,6.85,0.40,5.86,7.71
448,4,6.84,0.38,5.98,7.68
449,4,6.64,0.50,5.43,7.62
450,4,6.63,0.60,4.92,7.69
451,4,6.83,0.54,5.12,7.77
452,4,6.42,0.57,4.61,7.33
453,4,6.60,0.58,4.57,7.32
454,4,6.67,0.47,5.32,7.47
455,4,6.68,0.45,5.50,7.59
456,4,6.64,0.42,5.74,7.64
457,4,6.79,0.46,5.74,7.78
458,4,6.60,0.52,4.75,7.30
459,4,6.74,0.38,5.63,7.30
460,4,6.65,0.37,5.50,7.21
461,4,6.66,0.37,5.73,7.21
462,4,6.94,0.39,6.07,7.72
463,4,6.92,0.37,6.01,7.64
464,4,6.87,0.39,5.80,7.63
465,4,6.90,0.46,5.71,7.90
466,4,6.79,0.64,5.16,7.97
467,4,7.14,0.55,5.93,8.20
468,4,7.33,0.47,6.35,8.33
469,4,7.22,0.53,6.10,8.30
470,4,7.10,0.63,5.61,8.22
471,4,6.95,0.84,4.71,8.42
472,4,7.02,0.82,4.94,8.46
473,4,6.91,0.72,4.88,8.22
474,4,7.42,0.40,6.63,8.29
475,4,7.32,0.41,6.50,8.23
476,4,6.58,0.78,3.74,7.94
477,4,7.13,0.50,6.05,8.22
478,4,6.79,0.61,5.37,7.89
479,4,6.79,0.64,5.33,7.84
480,4,6.97,0.56,5.53,7.76
481,4,7.18,0.39,6.21,7.78
482,4,7.27,0.36,6.16,7.81
483,4,7.42,0.34,6.34,7.99
484,4,7.38,0.31,6.48,7.97
485,4,7.38,0.34,6.43,8.03
486,4,7.39,0.29,6.65,8.00
487,4,7.39,0.30,6.47,7.94
488,4,7.40,0.31,6.54,8.05
489,4,7.20,0.36,6.05,7.71
490,4,7.18,0.34,6.08,7.76
491,4,7.13,0.35,6.10,7.77
492,4,7.28,0.34,6.26,7.91
493,4,7.13,0.35,6.05,7.68
494,4,7.13,0.31,6.24,7.67
495,4,6.92,0.54,5.35,7.59
496,4,7.04,0.48,5.68,7.71
497,4,7.17,0.44,5.47,7.75
498,4,6.91,0.61,5.16,7.71
499,4,6.88,0.58,5.12,7.65
500,4,6.61,0.78,3.75,7.59
0,5,4.91,0.70,3.46,6.27
1,5,5.26,0.78,3.70,6.72
2,5,5.07,0.73,3.38,6.36
3,5,5.09,0.93,2.14,6.56
4,5,5.06,0.92,1.89,6.50
5,5,4.12,1.26,1.07,6.16
6,5,4.60,1.08,1.69,6.38
7,5,5.60,0.74,3.90,6.90
8,5,4.86,0.78,3.12,6.28
9,5,4.57,0.81,2.66,6.15
10,5,3.90,0.91,1.88,5.77
11,5,4.24,0.98,2.09,6.27
12,5,4.29,1.15,1.45,6.34
13,5,4.31,1.02,1.90,6.12
14,5,4.22,1.11,1.93,6.31
15,5,4.88,1.05,2.82,6.89
16,5,4.92,0.97,2.95,6.84
17,5,4.64,0.99,2.84,6.71
18,5,4.95,1.09,2.41,6.83
19,5,5.46,0.80,3.64,6.94
20,5,5.64,0.74,3.75,7.01
21,5,5.43,0.72,3.80,6.77
22,5,5.19,0.66,3.65,6.43
23,5,5.08,0.75,3.41,6.63
24,5,4.72,0.73,3.15,6.40
25,5,5.08,0.63,3.79,6.43
26,5,4.53,0.63,3.12,5.89
27,5,4.56,0.87,1.78,6.14
28,5,4.70,0.82,2.21,6.08
29,5,4.69,0.82,2.07,6.03
30,5,4.99,0.89,2.49,6.50
31,5,5.18,1.00,2.41,6.59
32,5,5.41,1.30,2.11,7.34
33,5,5.30,1.33,2.00,7.38
34,5,5.28,1.20,2.49,7.33
35,5,5.71,0.88,3.01,7.15
36,5,5.83,0.77,3.70,7.02
37,5,5.70,0.73,4.06,6.91
38,5,5.35,0.88,3.88,7.24
39,5,5.53,0.69,4.26,6.98
40,5,5.48,0.68,4.16,7.00
41,5,5.67,0.71,4.29,7.01
42,5,5.64,0.73,4.18,6.97
43,5,5.94,0.72,4.34,7.06
44,5,6.04,0.67,4.38,7.14
45,5,6.19,0.54,4.91,7.05
46,5,6.14,0.54,4.92,6.99
47,5,5.68,0.66,4.23,6.84
48,5,5.16,0.75,3.72,6.58
49,5,4.95,0.74,3.31,6.53
50,5,4.51,0.58,3.30,5.95
51,5,4.21,0.52,3.28,5.90
52,5,4.16,0.47,3.16,5.65
53,5,4.29,0.55,3.22,5.69
54,5,4.15,0.54,3.04,5.35
55,5,4.64,0.57,3.33,5.76
56,5,4.43,0.50,3.40,5.46
57,5,4.44,0.49,3.38,5.43
58,5,4.38,0.56,3.17,5.42
59,5,4.50,0.50,3.39,5.62
60,5,4.62,0.60,2.95,5.99
61,5,4.98,0.67,3.25,6.39
62,5,4.91,0.64,3.72,6.14
63,5,4.64,0.76,3.14,6.46
64,5,4.78,0.85,3.53,6.69
65,5,5.04,0.85,3.43,6.73
66,5,4.68,0.84,3.19,6.47
67,5,4.38,0.91,2.17,6.23
68,5,4.14,1.10,1.69,6.11
69,5,4.87,1.13,2.10,6.70
70,5,5.30,1.05,2.61,7.08
71,5,4.64,0.81,2.92,6.59
72,5,3.91,0.97,1.90,6.27
73,5,3.22,0.87,1.19,5.17
74,5,3.73,0.88,1.79,5.37
75,5,4.47,0.87,2.64,6.53
76,5,4.72,0.93,2.99,6.69
77,5,4.68,1.06,2.84,6.83
78,5,4.92,1.14,2.96,7.15
79,5,4.77,1.08,2.76,6.91
80,5,4.72,1.31,2.39,7.15
81,5,5.07,1.14,2.94,7.06
82,5,5.21,0.96,3.45,7.16
83,5,5.08,0.79,3.64,6.88
84,5,5.36,0.80,3.73,6.90
85,5,5.44,0.80,3.91,7.02
86,5,5.13,0.89,3.36,6.98
87,5,5.36,0.94,3.60,7.09
88,5,5.14,0.87,2.98,6.90
89,5,5.39,0.87,2.75,6.89
90,5,5.14,1.08,1.33,7.06
91,5,5.00,1.18,1.01,7.11
